               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.1055,               3.621,              1.8015,             0.38926,              0.3716,             0.31761,             0.11274,              2.6731,              2.5172,              1.5937,             0.07005,           0.0033277,           0.0033277
                   1,              2.7671,              2.8013,              1.5878,             0.35964,             0.35405,             0.31254,             0.11183,              2.6301,              2.4267,              1.5617,            0.039997,           0.0066083,           0.0066083
                   2,              2.8066,              2.7983,              1.5962,             0.32044,             0.37023,             0.27725,            0.097812,              2.6208,              2.5413,              1.5764,           0.0098919,           0.0098361,           0.0098361
                   3,              2.8172,              2.7996,              1.5974,             0.41993,             0.40963,             0.40052,              0.1514,              2.5918,              2.3117,              1.5647,           0.0097624,           0.0097624,           0.0097624
                   4,              2.7697,              2.7183,              1.5905,             0.47804,             0.43643,             0.43602,             0.16336,              2.5073,              2.2363,              1.5284,           0.0097624,           0.0097624,           0.0097624
                   5,              2.7366,              2.6213,              1.5669,             0.46194,             0.45025,             0.43884,               0.166,              2.5606,              2.1527,              1.5366,           0.0096832,           0.0096832,           0.0096832
                   6,              2.6909,              2.5187,              1.5461,             0.46838,             0.46973,             0.45629,             0.17547,              2.5151,              2.1805,              1.5195,            0.009604,            0.009604,            0.009604
                   7,              2.6647,              2.4522,              1.5402,             0.42497,             0.52441,             0.45248,             0.16984,              2.4783,              2.0766,               1.501,           0.0095248,           0.0095248,           0.0095248
                   8,              2.6312,              2.3843,              1.5371,             0.50045,              0.5524,             0.51588,             0.20549,              2.4789,              1.9795,              1.5119,           0.0094456,           0.0094456,           0.0094456
                   9,              2.5994,              2.3139,              1.5236,             0.58502,             0.50393,             0.53295,             0.21882,              2.4525,              1.9168,              1.4896,           0.0093664,           0.0093664,           0.0093664
                  10,              2.5749,              2.2732,               1.513,             0.55368,             0.53772,             0.54325,             0.22396,              2.4358,              1.8911,               1.489,           0.0092872,           0.0092872,           0.0092872
                  11,              2.5418,              2.1986,              1.5011,             0.54534,             0.51151,             0.52085,             0.20992,              2.4659,              1.8255,               1.501,            0.009208,            0.009208,            0.009208
                  12,              2.5268,              2.1497,              1.4974,             0.56088,             0.59923,             0.58656,             0.24718,              2.4193,              1.7805,              1.4831,           0.0091288,           0.0091288,           0.0091288
                  13,              2.4867,              2.0755,              1.4751,             0.57324,             0.58665,             0.57841,             0.25017,              2.3894,              1.7531,              1.4652,           0.0090496,           0.0090496,           0.0090496
                  14,              2.4403,              2.0122,              1.4646,             0.62952,             0.57557,             0.61818,             0.27395,              2.3722,              1.6553,              1.4691,           0.0089704,           0.0089704,           0.0089704
                  15,              2.4192,              1.9736,              1.4683,             0.65872,             0.60196,             0.65689,             0.29759,              2.3508,              1.6359,              1.4585,           0.0088912,           0.0088912,           0.0088912
                  16,              2.3908,              1.9197,              1.4474,             0.60874,             0.64807,             0.65303,             0.31075,              2.2859,              1.5811,              1.4379,            0.008812,            0.008812,            0.008812
                  17,              2.3414,              1.8673,              1.4455,             0.71582,              0.6327,              0.6886,              0.3257,              2.2991,              1.5228,              1.4404,           0.0087328,           0.0087328,           0.0087328
                  18,              2.3194,              1.8226,              1.4289,             0.67906,               0.634,             0.69177,              0.3364,              2.2913,               1.534,              1.4388,           0.0086536,           0.0086536,           0.0086536
                  19,              2.2734,              1.7687,              1.4172,             0.70376,               0.662,             0.71043,             0.35143,              2.2485,              1.4831,               1.422,           0.0085744,           0.0085744,           0.0085744
                  20,              2.2452,              1.7283,              1.4078,             0.69242,              0.6605,             0.70719,             0.35171,              2.1966,              1.4454,              1.4105,           0.0084952,           0.0084952,           0.0084952
                  21,              2.2037,              1.6742,               1.392,             0.75515,             0.66135,             0.74008,             0.37803,              2.2017,              1.3944,              1.4013,            0.008416,            0.008416,            0.008416
                  22,              2.1738,              1.6432,              1.3943,             0.71706,             0.69147,             0.73839,             0.38676,              2.1561,              1.3754,              1.3913,           0.0083368,           0.0083368,           0.0083368
                  23,              2.1535,              1.6273,              1.3781,             0.75589,             0.66214,             0.74571,             0.39736,              2.1184,               1.321,               1.382,           0.0082576,           0.0082576,           0.0082576
                  24,              2.1159,              1.5751,              1.3648,             0.71803,             0.69858,             0.75376,             0.41309,              2.0635,               1.307,              1.3635,           0.0081784,           0.0081784,           0.0081784
                  25,              2.0976,              1.5557,              1.3655,             0.75745,             0.70371,             0.76525,             0.42981,              2.0615,              1.2463,              1.3666,           0.0080992,           0.0080992,           0.0080992
                  26,              2.0799,              1.5377,              1.3587,             0.79214,             0.68924,             0.78041,             0.43807,              2.0636,              1.2436,              1.3657,             0.00802,             0.00802,             0.00802
                  27,              2.0331,              1.4887,              1.3416,             0.73203,              0.6999,             0.77461,             0.44383,              1.9982,              1.1991,              1.3494,           0.0079408,           0.0079408,           0.0079408
                  28,              2.0017,               1.452,              1.3327,             0.78928,             0.71101,             0.80388,             0.47082,              1.9528,              1.2208,              1.3349,           0.0078616,           0.0078616,           0.0078616
                  29,              1.9849,              1.4361,              1.3319,             0.80622,             0.70497,             0.79911,             0.45993,              1.9618,              1.1485,              1.3381,           0.0077824,           0.0077824,           0.0077824
                  30,              1.9546,              1.4134,              1.3246,             0.77666,             0.72335,             0.79984,             0.47203,              1.9419,              1.1554,              1.3273,           0.0077032,           0.0077032,           0.0077032
                  31,              1.9311,              1.3853,              1.3141,             0.77142,             0.76467,             0.81839,             0.48879,              1.9041,              1.1234,               1.316,            0.007624,            0.007624,            0.007624
                  32,              1.9098,              1.3665,              1.3037,             0.81034,             0.74141,             0.82173,             0.50144,              1.8671,              1.0955,              1.3065,           0.0075448,           0.0075448,           0.0075448
                  33,              1.8921,               1.361,              1.3024,             0.76566,              0.7933,             0.82864,             0.50442,              1.8605,              1.0718,              1.3018,           0.0074656,           0.0074656,           0.0074656
                  34,              1.8754,              1.3344,              1.2946,             0.82963,             0.77062,             0.82759,             0.50469,              1.8272,              1.0822,              1.2999,           0.0073864,           0.0073864,           0.0073864
                  35,              1.8491,              1.3096,              1.2937,             0.81772,             0.76262,             0.83781,             0.51882,              1.8212,              1.0628,                1.29,           0.0073072,           0.0073072,           0.0073072
                  36,              1.8254,              1.2792,              1.2811,             0.79789,             0.77846,             0.83983,             0.53693,              1.7442,              1.0365,              1.2669,            0.007228,            0.007228,            0.007228
                  37,              1.8069,              1.2705,              1.2748,             0.80326,             0.77465,             0.85245,             0.54519,              1.7252,              0.9952,              1.2647,           0.0071488,           0.0071488,           0.0071488
                  38,               1.782,              1.2495,              1.2683,             0.79131,             0.81143,             0.84832,             0.54091,              1.7242,              1.0147,              1.2656,           0.0070696,           0.0070696,           0.0070696
                  39,              1.7638,              1.2386,              1.2608,              0.8259,             0.76072,             0.84367,             0.55005,              1.6884,             0.99283,              1.2522,           0.0069904,           0.0069904,           0.0069904
                  40,              1.7545,              1.2205,              1.2569,              0.8165,             0.80208,             0.85922,             0.55633,              1.6903,             0.96067,               1.256,           0.0069112,           0.0069112,           0.0069112
                  41,              1.7353,              1.2031,              1.2589,             0.83881,              0.8029,             0.86284,             0.56066,              1.6676,             0.95091,              1.2516,            0.006832,            0.006832,            0.006832
                  42,              1.7171,              1.2007,              1.2538,             0.83403,             0.79172,             0.85613,             0.56566,              1.6401,             0.93276,                1.24,           0.0067528,           0.0067528,           0.0067528
                  43,              1.6979,              1.1782,              1.2448,             0.81874,             0.81128,             0.86905,             0.57242,              1.6275,             0.93541,              1.2355,           0.0066736,           0.0066736,           0.0066736
                  44,              1.6769,              1.1542,              1.2358,             0.84311,             0.79441,              0.8798,             0.57498,              1.6056,             0.93075,              1.2296,           0.0065944,           0.0065944,           0.0065944
                  45,               1.666,              1.1404,              1.2333,              0.8208,             0.80904,             0.87497,             0.58464,              1.5703,             0.90549,              1.2239,           0.0065152,           0.0065152,           0.0065152
                  46,              1.6592,               1.142,              1.2344,             0.82699,             0.84233,             0.88011,              0.5904,              1.5565,             0.88683,              1.2206,            0.006436,            0.006436,            0.006436
